rank,candidate,file,overall_score,skills_score,experience_score,semantic_score,education_score,projects_score,certifications_score,reasoning
1,candidate_01_strong,candidate_01_strong.txt,88.16,32.67,25.0,10.49,10.0,7,3,"candidate_01_strong has relevant skills including git, machine learning, natural language processing, python, pytorch; shows 2 years of experience; includes relevant project work; lists relevant certifications. Missing required skills: tensorflow."
2,candidate_08_strong_alt,candidate_08_strong_alt.txt,82.37,27.33,25.0,10.04,10.0,7,3,"candidate_08_strong_alt has relevant skills including git, machine learning, natural language processing, python, pytorch; shows 2.5 years of experience; includes relevant project work; lists relevant certifications. Missing required skills: scikit-learn, tensorflow."
3,candidate_05_different_format,candidate_05_different_format.txt,72.74,29.33,25.0,8.41,10.0,0.0,0.0,"candidate_05_different_format has relevant skills including git, machine learning, natural language processing, python, restful api; shows 1.5 years of experience. Missing required skills: pytorch, sql."
4,candidate_07_irrelevant_info,candidate_07_irrelevant_info.txt,68.12,19.33,25.0,6.79,10.0,7,0.0,"candidate_07_irrelevant_info has relevant skills including git, python, restful api, sql; shows 2 years of experience; includes relevant project work. Missing required skills: machine learning, natural language processing, pytorch, scikit-learn, tensorflow."
5,candidate_11_pdf,candidate_11_pdf.pdf,59.67,28.67,0.0,11.0,10.0,7,3,"candidate_11_pdf has relevant skills including git, machine learning, natural language processing, python, pytorch; includes relevant project work; lists relevant certifications. Missing required skills: tensorflow."
6,candidate_04_missing_skills,candidate_04_missing_skills.txt,56.21,6.67,25.0,7.54,10.0,7,0.0,"candidate_04_missing_skills has relevant skills including git, sql; shows 3 years of experience; includes relevant project work. Missing required skills: machine learning, natural language processing, python, pytorch, restful api."
7,candidate_10_docx,candidate_10_docx.docx,50.79,24.0,0.0,9.79,10.0,7,0.0,"candidate_10_docx has relevant skills including git, machine learning, python, restful api, scikit-learn; includes relevant project work. Missing required skills: natural language processing, pytorch, tensorflow."
8,candidate_06_freshers,candidate_06_freshers.txt,43.01,20.0,0.0,10.01,10.0,0.0,3,"candidate_06_freshers has relevant skills including git, machine learning, natural language processing, python, scikit-learn; lists relevant certifications. Missing required skills: pytorch, restful api, tensorflow."
9,candidate_02_medium,candidate_02_medium.txt,35.47,10.0,0.0,8.47,10.0,7,0.0,"candidate_02_medium has relevant skills including git, python, sql; includes relevant project work. Missing required skills: machine learning, natural language processing, pytorch, restful api, scikit-learn."
10,candidate_03_weak,candidate_03_weak.txt,16.47,0.0,0.0,6.47,10.0,0.0,0.0,"candidate_03_weak shows limited overlap with the JD. Missing required skills: git, machine learning, natural language processing, python, pytorch."
